date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:38:39	76380/76380	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:38%20GMT	https://cwiki.apache.org/confluence/display/Hive	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive.html	(from )
03:38:40	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Dec%202021%2019:38:41%20GMT	https://cwiki.apache.org/robots.txt		(from )
03:38:41	337142/337142	---MCZ	200	added ('OK')	text/css	date:Wed,%2031%20Dec%201969%2023:59:59%20GMT	https://cwiki.apache.org/confluence/s/ad0cdaf669e3a7800fb6fa6452e260e4-CDN/6dvx22/8703/4mhn8a/6b1577085985a611eea3c1e80e0e7e93/_/download/contextbatch/css/_super/batch.css	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/s/ad0cdaf669e3a7800fb6fa6452e260e4-CDN/6dvx22/8703/4mhn8a/6b1577085985a611eea3c1e80e0e7e93/_/download/contextbatch/css/_super/batch.css	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:41	170988/170988	---MCZ	200	added ('OK')	text/css	date:Wed,%2031%20Dec%201969%2023:59:59%20GMT	https://cwiki.apache.org/confluence/s/585884a9f3984b0aaecef0baf40c1e6e-CDN/6dvx22/8703/4mhn8a/e6aaebbd7baa9a045ec96374ae08d3b2/_/download/contextbatch/css/atl.confluence.plugins.pagetree-desktop,main,viewcontent,atl.general,page,atl.comments,-_super/batch.css?gatekeeper-ui-v2=true&highlightactions=true&hostenabled=true	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/s/585884a9f3984b0aaecef0baf40c1e6e-CDN/6dvx22/8703/4mhn8a/e6aaebbd7baa9a045ec96374ae08d3b2/_/download/contextbatch/css/atl.confluence.plugins.pagetree-desktop,main,vi/batch1203.css	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:43	76386/76386	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:44%20GMT	https://cwiki.apache.org/confluence/display/Hive/Home	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Home.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:44	956783/956783	---MC-	200	added ('OK')	text/javascript	date:Wed,%2031%20Dec%201969%2023:59:59%20GMT	https://cwiki.apache.org/confluence/s/58e418cc99c782d6bf891d0ee81d3e82-CDN/6dvx22/8703/4mhn8a/6b1577085985a611eea3c1e80e0e7e93/_/download/contextbatch/js/_super/batch.js?locale=en-GB	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/s/58e418cc99c782d6bf891d0ee81d3e82-CDN/6dvx22/8703/4mhn8a/6b1577085985a611eea3c1e80e0e7e93/_/download/contextbatch/js/_super/batch6116.js	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:45	809542/809542	---MC-	200	added ('OK')	text/javascript	date:Wed,%2031%20Dec%201969%2023:59:59%20GMT	https://cwiki.apache.org/confluence/s/d8f9091841663d4e3446e48379e476f1-CDN/6dvx22/8703/4mhn8a/e6aaebbd7baa9a045ec96374ae08d3b2/_/download/contextbatch/js/atl.confluence.plugins.pagetree-desktop,main,viewcontent,atl.general,page,atl.comments,-_super/batch.js?gatekeeper-ui-v2=true&highlightactions=true&hostenabled=true&locale=en-GB	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/s/d8f9091841663d4e3446e48379e476f1-CDN/6dvx22/8703/4mhn8a/e6aaebbd7baa9a045ec96374ae08d3b2/_/download/contextbatch/js/atl.confluence.plugins.pagetree-desktop,main,vi/batch3a32.js	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:45	47115/47115	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:46%20GMT	https://cwiki.apache.org/confluence/display/Hive/How-to+articles	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/How-to+articles.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:46	58696/58696	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:46%20GMT	https://cwiki.apache.org/confluence/display/Hive/AboutThisWiki	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/AboutThisWiki.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:46	66096/66096	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:46%20GMT	https://cwiki.apache.org/confluence/display/Hive/AccumuloIntegration	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/AccumuloIntegration.html	(from https://cwiki.apache.org/confluence/display/Hive)
